all trials,correct trials,diff contrast t,no contras,%Correct,%Contrast,%0contrast,session_number
201,141,57,84,70.15,40.43,59.57,0
229,156,57,95,68.12,36.54,60.9,1
216,151,55,93,69.91,36.42,61.59,2
241,166,50,112,68.88,30.12,67.47,3
246,168,67,94,68.29,39.88,55.95,4
288,215,81,129,74.65,37.67,60.0,5
244,169,57,108,69.26,33.73,63.91,6
223,161,85,73,72.2,52.8,45.34,7
350,255,108,146,72.86,42.35,57.25,8
430,277,123,150,64.42,44.4,54.15,9
334,272,101,166,81.44,37.13,61.03,10
327,251,100,146,76.76,39.84,58.17,11
291,239,100,135,82.13,41.84,56.49,12
256,186,72,111,72.66,38.71,59.68,13
397,309,138,167,77.83,44.66,54.05,14
265,201,82,118,75.85,40.8,58.71,15
213,186,85,99,87.32,45.7,53.23,16
311,247,101,144,79.42,40.89,58.3,17
225,142,61,76,63.11,42.96,53.52,18
225,139,49,82,61.78,35.25,58.99,19
109,66,27,39,60.55,40.91,59.09,20
441,311,115,187,70.52,36.98,60.13,21
141,102,43,58,72.34,42.16,56.86,22
169,109,47,60,64.5,43.12,55.05,23
253,188,75,108,74.31,39.89,57.45,24
160,130,60,69,81.25,46.15,53.08,25
242,159,68,89,65.7,42.77,55.97,26
131,85,42,42,64.89,49.41,49.41,27
112,75,31,42,66.96,41.33,56.0,28
121,72,26,46,59.5,36.11,63.89,29
219,164,73,89,74.89,44.51,54.27,30
248,186,96,88,75.0,51.61,47.31,31
174,129,62,66,74.14,48.06,51.16,32
273,176,90,85,64.47,51.14,48.3,33
299,240,98,140,80.27,40.83,58.33,34
245,188,87,98,76.73,46.28,52.13,35
170,132,64,65,77.65,48.48,49.24,36
182,131,56,73,71.98,42.75,55.73,37
337,246,78,168,73.0,31.71,68.29,38
